id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
122;2023-07-16 13:00:39;CREATED;AZALEIA;1013107;CAJA TDA RP TRUJILLO -  IZIPAY;ST050
123;2023-07-16 13:00:39;CREATED;AZALEIA;1013108;CAJA TDA RP TRUJILLO -  CULQI;ST050
124;2023-07-16 13:00:39;CREATED;AZALEIA;1013109;CAJA TDA RP TRUJILLO -  AMEX;ST050
125;2023-07-16 13:00:39;CREATED;AZALEIA;1013110;CAJA TDA RP TRUJILLO -  DINERS;ST050
126;2023-07-16 13:00:39;CREATED;AZALEIA;1013111;CAJA TDA RP HUANUCO -  NIUBIZ;ST038
127;2023-07-16 13:00:39;CREATED;AZALEIA;1013112;CAJA TDA RP HUANUCO -  IZIPAY;ST038
128;2023-07-16 13:00:39;CREATED;AZALEIA;1013113;CAJA TDA RP HUANUCO -  CULQI;ST038
129;2023-07-16 13:00:39;CREATED;AZALEIA;1013114;CAJA TDA RP HUANUCO -  AMEX;ST038
130;2023-07-16 13:00:39;CREATED;AZALEIA;1013115;CAJA TDA RP HUANUCO -  DINERS;ST038
131;2023-07-16 13:00:39;CREATED;AZALEIA;1013116;CAJA TDA RP PIURA -  VISA;ST043
132;2023-07-16 13:00:39;CREATED;AZALEIA;1013117;CAJA TDA RP PIURA -  IZIPAY;ST043
133;2023-07-16 13:00:39;CREATED;AZALEIA;1013118;CAJA TDA RP PIURA -  CULQI;ST043
134;2023-07-16 13:00:39;CREATED;AZALEIA;1013119;CAJA TDA RP PIURA -  AMEX;ST043
135;2023-07-16 13:00:39;CREATED;AZALEIA;1013120;CAJA TDA RP PIURA -  DINERS;ST043
136;2023-07-16 13:00:39;CREATED;AZALEIA;1013121;CAJA TDA RP CUSCO -  NIUBIZ;ST044
137;2023-07-16 13:00:39;CREATED;AZALEIA;1013122;CAJA TDA RP CUSCO -  IZIPAY;ST044
138;2023-07-16 13:00:39;CREATED;AZALEIA;1013123;CAJA TDA RP CUSCO -  CULQI;ST044
139;2023-07-16 13:00:39;CREATED;AZALEIA;1013124;CAJA TDA RP CUSCO -  AMEX;ST044
140;2023-07-16 13:00:39;CREATED;AZALEIA;1013125;CAJA TDA RP CUSCO -  DINERS;ST044
141;2023-07-16 13:00:39;CREATED;AZALEIA;1013126;CAJA TDA RP PUCALLPA -  NIUBIZ;ST046
142;2023-07-16 13:00:39;CREATED;AZALEIA;1013127;CAJA TDA RP PUCALLPA -  IZIPAY;ST046
143;2023-07-16 13:00:39;CREATED;AZALEIA;1013128;CAJA TDA RP PUCALLPA -  CULQI;ST046
144;2023-07-16 13:00:39;CREATED;AZALEIA;1013129;CAJA TDA RP PUCALLPA -  AMEX;ST046
145;2023-07-16 13:00:39;CREATED;AZALEIA;1013130;CAJA TDA RP PUCALLPA -  DINERS;ST046
146;2023-07-16 13:00:39;CREATED;AZALEIA;1013131;CAJA TDA RP PRIMAV. -  NIUBIZ;ST020
147;2023-07-16 13:00:39;CREATED;AZALEIA;1013132;CAJA TDA RP PRIMAV. -  IZIPAY;ST020
148;2023-07-16 13:00:39;CREATED;AZALEIA;1013133;CAJA TDA RP PRIMAV. -  CULQI;ST020
149;2023-07-16 13:00:39;CREATED;AZALEIA;1013134;CAJA TDA RP PRIMAV. -  AMEX;ST020
150;2023-07-16 13:00:39;CREATED;AZALEIA;1013135;CAJA TDA RP PRIMAV. -  DINERS;ST020
151;2023-07-16 13:00:39;CREATED;AZALEIA;1013136;CAJA TDA RP PURUC. AZA - NIUBIZ;ST056
152;2023-07-16 13:00:39;CREATED;AZALEIA;1013137;CAJA TDA RP PURUC. AZA - IZIPAY;ST056
153;2023-07-16 13:00:39;CREATED;AZALEIA;1013138;CAJA TDA RP PURUC. AZA - CULQI;ST056
154;2023-07-16 13:00:39;CREATED;AZALEIA;1013139;CAJA TDA RP PURUC. AZA - AMEX;ST056
155;2023-07-16 13:00:39;CREATED;AZALEIA;1013140;CAJA TDA RP PURUC. AZA - DINERS;ST056
156;2023-07-16 13:00:39;CREATED;AZALEIA;1013141;CAJA TDA RP PURUC. OLY - NIUBIZ;ST057
157;2023-07-16 13:00:39;CREATED;AZALEIA;1013142;CAJA TDA RP PURUC. OLY - IZIPAY;ST057
158;2023-07-16 13:00:39;CREATED;AZALEIA;1013143;CAJA TDA RP PURUC. OLY - CULQI;ST057
159;2023-07-16 13:00:39;CREATED;AZALEIA;1013144;CAJA TDA RP PURUC. OLY - AMEX;ST057
160;2023-07-16 13:00:39;CREATED;AZALEIA;1013145;CAJA TDA RP PURUC. OLY - DINERS;ST057
161;2023-07-16 13:00:39;CREATED;AZALEIA;1013146;CAJA TDA MAV. AREQ. - NIUBIZ;ST032
162;2023-07-16 13:00:39;CREATED;AZALEIA;1013147;CAJA TDA MAV. AREQ. - IZIPAY;ST032
163;2023-07-16 13:00:39;CREATED;AZALEIA;1013148;CAJA TDA MAV. AREQ. - CULQI;ST032
164;2023-07-16 13:00:39;CREATED;AZALEIA;1013149;CAJA TDA MAV. AREQ. - AMEX;ST032
165;2023-07-16 13:00:39;CREATED;AZALEIA;1013150;CAJA TDA MAV. AREQ. -  DINERS;ST032
166;2023-07-16 13:00:39;CREATED;AZALEIA;1013151;CAJA TDA MAV. STA ANITA - NIUBIZ;ST036
167;2023-07-16 13:00:39;CREATED;AZALEIA;1013152;CAJA TDA MAV. STA ANITA - IZIPAY;ST036
168;2023-07-16 13:00:39;CREATED;AZALEIA;1013153;CAJA TDA MAV. STA ANITA - CULQI;ST036
169;2023-07-16 13:00:39;CREATED;AZALEIA;1013154;CAJA TDA MAV. STA ANITA - AMEX;ST036
170;2023-07-16 13:00:39;CREATED;AZALEIA;1013155;CAJA TDA MAV. STA ANITA - DINERS;ST036
171;2023-07-16 13:00:39;CREATED;AZALEIA;1013156;CAJA TDA MAV. CHICLAYO - NIUBIZ;ST059
172;2023-07-16 13:00:39;CREATED;AZALEIA;1013157;CAJA TDA MAV. CHICLAYO - IZIPAY;ST059
173;2023-07-16 13:00:39;CREATED;AZALEIA;1013158;CAJA TDA MAV. CHICLAYO - CULQI;ST059
174;2023-07-16 13:00:39;CREATED;AZALEIA;1013159;CAJA TDA MAV. CHICLAYO - AMEX;ST059
175;2023-07-16 13:00:39;CREATED;AZALEIA;1013160;CAJA TDA MAV. CHICLAYO - DINERS;ST059
176;2023-07-16 13:00:39;CREATED;AZALEIA;1013161;CAJA TDA PNORT. OLY- NIUBIZ;ST054
177;2023-07-16 13:00:39;CREATED;AZALEIA;1013162;CAJA TDA PNORT. OLY- IZIPAY;ST054
178;2023-07-16 13:00:39;CREATED;AZALEIA;1013163;CAJA TDA PNORT. OLY- CULQI;ST054
179;2023-07-16 13:00:39;CREATED;AZALEIA;1013164;CAJA TDA PNORT. OLY- AMEX;ST054
180;2023-07-16 13:00:39;CREATED;AZALEIA;1013165;CAJA TDA PNORT. OLY- DINERS;ST054
181;2023-07-16 13:00:39;CREATED;AZALEIA;1013166;CAJA TDA PNORT. AZA - NIUBIZ;ST040
182;2023-07-16 13:00:39;CREATED;AZALEIA;1013167;CAJA TDA PNORT. AZA - IZIPAY;ST040
183;2023-07-16 13:00:39;CREATED;AZALEIA;1013168;CAJA TDA PNORT. AZA - CULQI;ST040
184;2023-07-16 13:00:39;CREATED;AZALEIA;1013169;CAJA TDA PNORT. AZA - AMEX;ST040
185;2023-07-16 13:00:39;CREATED;AZALEIA;1013170;CAJA TDA PNORT. AZA - DINERS;ST040
